DISTRITO,COD_DIST,UGM,HOMBRES,MUJERES,TOTAL,SIN_CARENCIAS,CARENCIAS_1,CARENCIAS_2,CARENCIAS_3,CARENCIAS_4,NULO,TOTAL_CON_CARENCIAS,TOTAL,NORMALIZACION_BASE_100_CARENCIAS,SIN_LIMITACIONES,TOTAL_CON_LIMITACIONES,LIMITACION_VISUAL,LIMITACION_AUDITIVA,LIMITACION_HABLAR,LIMITACION_CAMINAR,LIMITACION_BRAZOS_Y_PIERNAS,LIMITACION_INTELECTUAL,LIMITACION_MENTAL,TOTAL,NORMALIZACION_BASE_100_LIMITACIONES,DEPENDENCIA_EDAD_0_14,DEPENDENCIA_EDAD_MAYORIGUAL_65,EDAD_15_64,TOTAL_DEPENDIENTE,TOTAL,NORMALIZACION_BASE_100_DEPENDIENTES,POBLACION_DESOCUPADA,POBLACION_OCUPADA,FUERA_DE_LA_FUERZA_LABORAL,NORMALIZACION_BASE_100_DESOCUPADOS,MEDIOS_DE_VIDA,NORMALIZACION_BASE_100_MEDIOS_DE_VIDA,LONGITUD_CAMINOS_PCT,NORMALIZACION_BASE_100_10_CAMINOS,AREA_ASP_PCT,NORMALIZACION_BASE_100_10_ASP,AREA_SOBREUSO_PCT,NORMALIZACION_BASE_100_10_SOBREUSO,SUMA_VULNERABILIDADES,INDICE_VULNERABILIDAD_INTEGRADO
Quesada           ,21001,4778,8,12,20,14,6,0,0,0,0,6,20,1.880877742,12,8,5,0,0,3,3,3,0,20,6.06060606,2,1,17,3,20,1.260504201,2,6,11,8.0,152.3601,69.94120047645848,6.559543403112553,7.151003545920612,12.065766260795852,6.893093149096471,26.316349689133673,5.2124985568792805,106.39978373135484,28.661721484464852
Quesada           ,21001,5104,26,26,52,51,1,0,0,0,0,1,52,0.313479623,44,8,3,0,2,3,1,0,0,52,6.06060606,8,4,40,12,52,5.042016806,0,30,14,0.0,106.6535,33.862179095028836,6.559543403112553,7.151003545920612,12.065766260795852,6.893093149096471,26.316349689133673,5.2124985568792805,64.53487683592519,15.128740829456843
Quesada           ,21001,5237,32,27,59,54,5,0,0,0,0,5,59,1.567398119,50,9,3,2,1,5,4,1,0,59,6.818181818,11,14,34,25,59,10.50420168,1,22,30,4.0,125.0872,48.41302856619623,6.559543403112553,7.151003545920612,12.065766260795852,6.893093149096471,26.316349689133673,5.2124985568792805,90.5594054350926,23.54126263364801
Quesada           ,21001,5273,12,14,26,21,5,0,0,0,0,5,26,1.567398119,24,2,1,1,0,1,0,0,0,26,1.515151515,9,0,17,9,26,3.781512605,2,10,7,8.0,152.36,69.94112154032807,6.559543403112553,7.151003545920612,12.065766260795852,6.893093149096471,26.316349689133673,5.2124985568792805,104.06177903122445,27.905953116050387
Quesada           ,21001,5276,210,213,423,297,126,0,0,0,0,126,423,39.498432601,391,32,13,7,0,8,1,4,3,423,24.242424242,128,25,270,153,423,64.285714285,4,146,167,16.0,82.7041,14.957449478903134,6.559543403112553,7.151003545920612,12.065766260795852,6.893093149096471,26.316349689133673,5.2124985568792805,178.2406158587995,51.88452701580887
Quesada           ,21001,5346,34,44,78,69,9,0,0,0,0,9,78,2.821316614,71,7,3,2,0,3,0,1,2,78,5.303030303,18,12,48,30,78,12.605042016,0,31,32,0.0,120.4168,44.72639553158353,6.559543403112553,7.151003545920612,12.065766260795852,6.893093149096471,26.316349689133673,5.2124985568792805,84.7123797164799,21.65119069017122
Quesada           ,21001,5817,38,39,77,49,19,9,0,0,0,28,77,8.777429467,67,10,5,3,0,0,2,0,0,77,7.575757575,19,7,51,26,77,10.924369747,1,23,40,4.0,100.1863,28.757221669230773,6.559543403112553,7.151003545920612,12.065766260795852,6.893093149096471,26.316349689133673,5.2124985568792805,79.29137371012715,19.898831140013876
Quesada           ,21001,5884,23,16,39,22,13,4,0,0,0,17,39,5.329153605,39,0,0,0,0,0,0,0,0,39,0.0,12,2,25,14,39,5.882352941,0,16,14,0.0,114.28,39.882243080656146,6.559543403112553,7.151003545920612,12.065766260795852,6.893093149096471,26.316349689133673,5.2124985568792805,70.3503448785525,17.008611641477792
Quesada           ,21001,6055,57,47,104,72,28,4,0,0,0,32,104,10.031347962,95,9,3,3,1,1,0,1,1,104,6.818181818,35,5,64,40,104,16.806722689,0,37,42,0.0,118.3945,43.13007016632632,6.559543403112553,7.151003545920612,12.065766260795852,6.893093149096471,26.316349689133673,5.2124985568792805,96.04291788722269,25.3138276156156
Quesada           ,21001,6124,13,12,25,19,6,0,0,0,0,6,25,1.880877742,22,3,3,0,0,0,0,0,0,25,2.272727272,11,0,14,11,25,4.621848739,0,9,5,0.0,152.3599,69.94104260419766,6.559543403112553,7.151003545920612,12.065766260795852,6.893093149096471,26.316349689133673,5.2124985568792805,97.97309160909403,25.937763163929013
Quesada           ,21001,6192,117,152,269,204,58,7,0,0,0,65,269,20.376175548,253,16,4,5,2,7,6,1,0,269,12.121212121,71,21,177,92,269,38.655462184,5,111,96,20.0,79.2659,12.243467443187694,6.559543403112553,7.151003545920612,12.065766260795852,6.893093149096471,26.316349689133673,5.2124985568792805,122.65291254808406,33.91560341496932
Quesada           ,21001,6224,105,136,241,198,43,0,0,0,0,43,241,13.479623824,196,45,35,5,2,8,2,0,2,241,34.09090909,62,13,166,75,241,31.512605042,1,114,77,4.0,91.2145,21.675229921213848,6.559543403112553,7.151003545920612,12.065766260795852,6.893093149096471,26.316349689133673,5.2124985568792805,124.01496312911023,34.35589112921674
Quesada           ,21001,6226,19,16,35,33,2,0,0,0,0,2,35,0.626959247,27,8,6,2,0,2,0,0,0,35,6.06060606,5,4,26,9,35,3.781512605,1,13,16,4.0,133.3199,54.911603374361704,6.559543403112553,7.151003545920612,12.065766260795852,6.893093149096471,26.316349689133673,5.2124985568792805,88.63727653825808,22.91992760375611
Quesada           ,21001,6228,73,81,154,126,28,0,0,0,0,28,154,8.777429467,123,31,22,1,0,10,3,3,0,154,23.484848484,27,10,117,37,154,15.546218487,7,69,58,28.0,84.8689,16.666258829992888,6.559543403112553,7.151003545920612,12.065766260795852,6.893093149096471,26.316349689133673,5.2124985568792805,111.73135051988926,30.38516948807181
Quesada           ,21001,7014,109,104,213,191,22,0,0,0,0,22,213,6.896551724,184,29,24,3,1,2,2,3,0,213,21.969696969,68,4,141,72,213,30.25210084,1,87,76,4.0,87.6675,18.87536537561363,6.559543403112553,7.151003545920612,12.065766260795852,6.893093149096471,26.316349689133673,5.2124985568792805,101.25031016051,26.99713576373735
Quesada           ,21001,7148,61,63,124,103,21,0,0,0,0,21,124,6.5830721,122,2,0,2,0,0,0,0,0,124,1.515151515,35,0,89,35,124,14.705882352,1,56,44,4.0,85.7086,17.3290855170356,6.559543403112553,7.151003545920612,12.065766260795852,6.893093149096471,26.316349689133673,5.2124985568792805,63.38978673593196,14.758586365476864
Quesada           ,21001,7328,26,30,56,48,8,0,0,0,0,8,56,2.50783699,56,0,0,0,0,0,0,0,0,56,0.0,21,1,34,22,56,9.243697478,0,22,17,0.0,115.5671,40.898230015147846,6.559543403112553,7.151003545920612,12.065766260795852,6.893093149096471,26.316349689133673,5.2124985568792805,71.9063597350442,17.511599000422713
Quesada           ,21001,7356,30,38,68,36,32,0,0,0,0,32,68,10.031347962,65,3,1,1,0,3,2,0,0,68,2.272727272,28,2,38,30,68,12.605042016,2,21,22,8.0,114.2799,39.88216414452574,6.559543403112553,7.151003545920612,12.065766260795852,6.893093149096471,26.316349689133673,5.2124985568792805,92.04787664642211,24.022416268093515
Quesada           ,21001,7383,18,18,36,28,8,0,0,0,0,8,36,2.50783699,29,7,6,2,0,2,1,0,0,36,5.303030303,10,3,23,13,36,5.462184873,1,16,10,4.0,152.36,69.94112154032807,6.559543403112553,7.151003545920612,12.065766260795852,6.893093149096471,26.316349689133673,5.2124985568792805,106.47076895822444,28.684667712541202
Quesada           ,21001,7495,40,41,81,69,12,0,0,0,0,12,81,3.761755485,74,7,4,0,0,2,2,0,0,81,5.303030303,23,2,56,25,81,10.50420168,3,41,17,12.0,118.4497,43.173642910311976,6.559543403112553,7.151003545920612,12.065766260795852,6.893093149096471,26.316349689133673,5.2124985568792805,93.99922563020834,24.65319679543852
Quesada           ,21001,7501,99,96,195,105,70,9,4,7,0,90,195,28.213166144,177,18,7,4,2,10,3,0,1,195,13.636363636,45,17,133,62,195,26.050420168,1,70,93,4.0,111.4115,37.61796017987965,6.559543403112553,7.151003545920612,12.065766260795852,6.893093149096471,26.316349689133673,5.2124985568792805,128.774505379776,35.89443015823783
Quesada           ,21001,7624,56,57,113,92,21,0,0,0,0,21,113,6.5830721,96,17,12,1,1,8,3,0,2,113,12.878787878,27,5,81,32,113,13.445378151,2,44,46,8.0,96.9564,26.20766359315687,6.559543403112553,7.151003545920612,12.065766260795852,6.893093149096471,26.316349689133673,5.2124985568792805,86.37149697405324,22.187506268448097
Quesada           ,21001,7669,122,144,266,142,46,66,12,0,0,124,266,38.871473354,254,12,5,1,1,1,1,4,1,266,9.09090909,92,9,165,101,266,42.436974789,10,99,84,40.0,87.4363,18.69286504210848,6.559543403112553,7.151003545920612,12.065766260795852,6.893093149096471,26.316349689133673,5.2124985568792805,168.34881752700483,48.68696788109522
Quesada           ,21001,7805,26,35,61,57,4,0,0,0,0,4,61,1.253918495,55,6,1,0,0,3,1,2,0,61,4.545454545,12,5,44,17,61,7.142857142,1,30,19,4.0,97.1336,26.347538416241267,6.559543403112553,7.151003545920612,12.065766260795852,6.893093149096471,26.316349689133673,5.2124985568792805,62.54636385013763,14.485946905750946
Quesada           ,21001,7827,147,166,313,278,14,21,0,0,0,35,313,10.971786833,308,5,1,0,0,4,1,0,0,313,3.787878787,90,11,212,101,313,42.436974789,4,125,108,16.0,87.08,18.411615609461915,6.559543403112553,7.151003545920612,12.065766260795852,6.893093149096471,26.316349689133673,5.2124985568792805,110.86485127035829,30.105070511361514
Quesada           ,21001,7980,68,74,142,108,28,6,0,0,0,34,142,10.65830721,126,16,6,2,0,10,5,1,0,142,12.121212121,25,13,104,38,142,15.966386554,0,66,61,0.0,87.8652,19.03142210543183,6.559543403112553,7.151003545920612,12.065766260795852,6.893093149096471,26.316349689133673,5.2124985568792805,77.0339232423282,19.169102214862555
Quesada           ,21001,7984,34,38,72,72,0,0,0,0,0,0,72,0.0,70,2,1,1,0,0,0,0,0,72,1.515151515,21,2,49,23,72,9.663865546,0,38,15,0.0,108.0104,34.93326344854588,6.559543403112553,7.151003545920612,12.065766260795852,6.893093149096471,26.316349689133673,5.2124985568792805,65.36887576144224,15.398333960369834
Quesada           ,21001,7985,30,35,65,56,9,0,0,0,0,9,65,2.821316614,65,0,0,0,0,0,0,0,0,65,0.0,7,1,57,8,65,3.361344537,1,31,28,4.0,110.5818,36.96302710587782,6.559543403112553,7.151003545920612,12.065766260795852,6.893093149096471,26.316349689133673,5.2124985568792805,66.40228350877418,15.732386705030427
Quesada           ,21001,8218,22,14,36,19,16,1,0,0,0,17,36,5.329153605,33,3,1,0,0,1,0,0,1,36,2.272727272,5,1,30,6,36,2.521008403,0,13,19,0.0,104.7599,32.36744452960776,6.559543403112553,7.151003545920612,12.065766260795852,6.893093149096471,26.316349689133673,5.2124985568792805,61.746929061504126,14.227526755515315
Quesada           ,21001,8475,70,66,136,88,43,0,5,0,0,48,136,15.047021943,126,10,9,0,0,2,0,0,0,136,7.575757575,44,6,86,50,136,21.008403361,0,51,50,0.0,103.6242,31.47096689655499,6.559543403112553,7.151003545920612,12.065766260795852,6.893093149096471,26.316349689133673,5.2124985568792805,94.35874502745136,24.769412724453783
Quesada           ,21001,8623,87,80,167,100,66,0,0,0,1,66,167,20.689655172,155,12,6,7,0,3,1,0,0,167,9.09090909,56,16,95,72,167,30.25210084,0,63,60,0.0,98.4031,27.349632591781013,6.559543403112553,7.151003545920612,12.065766260795852,6.893093149096471,26.316349689133673,5.2124985568792805,106.63889294567738,28.739014391862057
Quesada           ,21001,8701,107,131,238,207,28,0,3,0,0,31,238,9.717868338,196,42,30,4,3,10,4,2,0,238,31.818181818,60,14,164,74,238,31.092436974,6,110,71,24.0,84.2288,16.160988659246144,6.559543403112553,7.151003545920612,12.065766260795852,6.893093149096471,26.316349689133673,5.2124985568792805,132.0460710411425,36.95197544115103
