DISTRITO,COD_DIST,UGM,HOMBRES,MUJERES,TOTAL,SIN_CARENCIAS,CARENCIAS_1,CARENCIAS_2,CARENCIAS_3,CARENCIAS_4,NULO,TOTAL_CON_CARENCIAS,TOTAL,NORMALIZACION_BASE_100_CARENCIAS,SIN_LIMITACIONES,TOTAL_CON_LIMITACIONES,LIMITACION_VISUAL,LIMITACION_AUDITIVA,LIMITACION_HABLAR,LIMITACION_CAMINAR,LIMITACION_BRAZOS_Y_PIERNAS,LIMITACION_INTELECTUAL,LIMITACION_MENTAL,TOTAL,NORMALIZACION_BASE_100_LIMITACIONES,DEPENDENCIA_EDAD_0_14,DEPENDENCIA_EDAD_MAYORIGUAL_65,EDAD_15_64,TOTAL_DEPENDIENTE,TOTAL,NORMALIZACION_BASE_100_DEPENDIENTES,POBLACION_DESOCUPADA,POBLACION_OCUPADA,FUERA_DE_LA_FUERZA_LABORAL,NORMALIZACION_BASE_100_DESOCUPADOS,MEDIOS_DE_VIDA,NORMALIZACION_BASE_100_MEDIOS_DE_VIDA,LONGITUD_CAMINOS_PCT,NORMALIZACION_BASE_100_10_CAMINOS,AREA_ASP_PCT,NORMALIZACION_BASE_100_10_ASP,AREA_SOBREUSO_PCT,NORMALIZACION_BASE_100_10_SOBREUSO,SUMA_VULNERABILIDADES,INDICE_VULNERABILIDAD_INTEGRADO
Nicoya            ,50201,39689,42,41,83,49,32,2,0,0,0,34,83,17.61658031,78,5,0,1,0,3,1,1,0,83,5.494505494,20,8,55,28,83,12.612612612,1,17,49,7.692307692,95.2403,12.101744398084328,25.345475769967152,0.0,1.0067801200062836,9.212409987257423,16.048979944241196,4.421661271938774,69.15182176528052,19.24438500307249
Nicoya            ,50201,39729,33,37,70,65,4,0,0,0,1,4,70,2.07253886,69,1,0,0,0,1,0,0,1,70,1.098901098,9,5,56,14,70,6.306306306,0,36,28,0.0,107.9153,23.8046215054101,25.345475769967152,0.0,1.0067801200062836,9.212409987257423,16.048979944241196,4.421661271938774,46.9164390286063,12.265781224239209
Nicoya            ,50201,39752,2,3,5,0,2,3,0,0,0,5,5,2.590673575,4,1,1,0,0,0,0,0,0,5,1.098901098,0,1,4,1,5,0.45045045,0,1,4,0.0,190.44,100.0,25.345475769967152,0.0,1.0067801200062836,9.212409987257423,16.048979944241196,4.421661271938774,117.7740963821962,34.50454910258326
Nicoya            ,50201,39786,65,80,145,131,10,4,0,0,0,14,145,7.25388601,102,43,38,0,0,1,1,2,2,145,47.252747252,30,12,103,42,145,18.918918918,1,44,73,7.692307692,115.1382,30.47355334434527,25.345475769967152,0.0,1.0067801200062836,9.212409987257423,16.048979944241196,4.421661271938774,125.22548447554146,36.84317694279603
Nicoya            ,50201,39835,24,25,49,49,0,0,0,0,0,0,49,0.0,45,4,2,2,0,0,0,0,1,49,4.395604395,3,6,40,9,49,4.054054054,0,22,27,0.0,115.5672,30.86965072336245,25.345475769967152,0.0,1.0067801200062836,9.212409987257423,16.048979944241196,4.421661271938774,52.95338043155865,14.160483131832265
Nicoya            ,50201,39836,20,18,38,28,10,0,0,0,0,10,38,5.18134715,34,4,2,3,0,1,0,0,0,38,4.395604395,9,4,25,13,38,5.855855855,3,9,17,23.076923076,142.8399,56.05064137306372,25.345475769967152,0.0,1.0067801200062836,9.212409987257423,16.048979944241196,4.421661271938774,108.19444310825992,31.497962468608204
Nicoya            ,50201,39865,9,11,20,6,14,0,0,0,0,14,20,7.25388601,7,13,4,2,2,3,0,0,4,20,14.285714285,0,7,13,7,20,3.153153153,0,3,17,0.0,171.3999,82.42020115099066,25.345475769967152,0.0,1.0067801200062836,9.212409987257423,16.048979944241196,4.421661271938774,120.74702585818684,35.43760688355565
Nicoya            ,50201,39941,15,13,28,28,0,0,0,0,0,0,28,0.0,25,3,1,0,0,2,0,0,0,28,3.296703296,4,6,18,10,28,4.504504504,0,11,14,0.0,142.8399,56.05064137306372,25.345475769967152,0.0,1.0067801200062836,9.212409987257423,16.048979944241196,4.421661271938774,77.48592043225992,21.860052704381015
Nicoya            ,50201,39970,43,43,86,10,63,13,0,0,0,76,86,39.378238341,80,6,4,2,1,0,0,2,0,86,6.593406593,31,6,49,37,86,16.666666666,0,25,40,0.0,118.84,33.89143977242405,25.345475769967152,0.0,1.0067801200062836,9.212409987257423,16.048979944241196,4.421661271938774,110.16382263162023,32.11605479229064
Nicoya            ,50201,40023,43,44,87,66,20,1,0,0,0,21,87,10.880829015,78,9,5,2,0,4,0,0,0,87,9.89010989,23,8,56,31,87,13.963963963,0,28,39,0.0,111.8916,27.475954857825045,25.345475769967152,0.0,1.0067801200062836,9.212409987257423,16.048979944241196,4.421661271938774,75.84492898502124,21.3450254053076
Nicoya            ,50201,40028,111,118,229,177,52,0,0,0,0,52,229,26.943005181,185,44,34,5,1,3,0,5,2,229,48.351648351,40,13,176,53,229,23.873873873,1,97,101,7.692307692,95.4173,12.265169190825683,25.345475769967152,0.0,1.0067801200062836,9.212409987257423,16.048979944241196,4.421661271938774,132.76007554702187,39.20791814586386
Nicoya            ,50201,40055,30,40,70,53,17,0,0,0,0,17,70,8.808290155,58,12,9,3,2,4,0,0,0,70,13.186813186,15,14,41,29,70,13.063063063,0,19,38,0.0,133.32,47.26088044414612,25.345475769967152,0.0,1.0067801200062836,9.212409987257423,16.048979944241196,4.421661271938774,95.9531181073423,27.656006702835427
Nicoya            ,50201,40077,20,19,39,39,0,0,0,0,0,0,39,0.0,36,3,2,0,0,1,0,0,0,39,3.296703296,4,5,30,9,39,4.054054054,0,14,25,0.0,133.3201,47.26097277453749,25.345475769967152,0.0,1.0067801200062836,9.212409987257423,16.048979944241196,4.421661271938774,68.24580138373369,18.96002932845961
Nicoya            ,50201,40094,22,26,48,42,6,0,0,0,0,6,48,3.10880829,47,1,0,1,0,1,0,0,1,48,1.098901098,13,7,28,20,48,9.009009009,0,15,24,0.0,142.8401,56.05082603384648,25.345475769967152,0.0,1.0067801200062836,9.212409987257423,16.048979944241196,4.421661271938774,82.90161569004266,23.559775701666602
Nicoya            ,50201,40194,60,80,140,140,0,0,0,0,0,0,140,0.0,134,6,5,0,0,1,0,0,0,140,6.593406593,33,9,98,42,140,18.918918918,0,57,57,0.0,111.2609,26.893627079395827,25.345475769967152,0.0,1.0067801200062836,9.212409987257423,16.048979944241196,4.421661271938774,66.04002384959202,18.26774318176614
Nicoya            ,50201,40223,12,11,23,4,17,2,0,0,0,19,23,9.844559585,16,7,7,0,0,2,0,0,0,23,7.692307692,6,1,16,7,23,3.153153153,0,6,12,0.0,171.4,82.42029348138203,25.345475769967152,0.0,1.0067801200062836,9.212409987257423,16.048979944241196,4.421661271938774,116.74438517057823,34.18137290014929
Nicoya            ,50201,40257,27,44,71,71,0,0,0,0,0,0,71,0.0,68,3,2,0,0,0,0,1,0,71,3.296703296,26,0,45,26,71,11.711711711,0,19,30,0.0,133.32,47.26088044414612,25.345475769967152,0.0,1.0067801200062836,9.212409987257423,16.048979944241196,4.421661271938774,75.90336671034231,21.363366161371104
Nicoya            ,50201,40262,11,10,21,21,0,0,0,0,0,0,21,0.0,15,6,4,2,0,2,0,1,1,21,6.593406593,0,5,16,5,21,2.252252252,0,12,9,0.0,133.3201,47.26097277453749,25.345475769967152,0.0,1.0067801200062836,9.212409987257423,16.048979944241196,4.421661271938774,69.74070287873369,19.42920610609986
Nicoya            ,50201,40288,31,27,58,42,13,3,0,0,0,16,58,8.29015544,52,6,1,0,0,4,2,0,1,58,6.593406593,13,2,43,15,58,6.756756756,0,25,23,0.0,110.84,26.50500846208037,25.345475769967152,0.0,1.0067801200062836,9.212409987257423,16.048979944241196,4.421661271938774,61.779398510276565,16.93054038003074
Nicoya            ,50201,40294,20,17,37,29,8,0,0,0,0,8,37,4.14507772,33,4,0,4,4,0,0,0,0,37,4.395604395,5,6,26,11,37,4.954954954,1,10,23,7.692307692,161.88,73.63044022207306,25.345475769967152,0.0,1.0067801200062836,9.212409987257423,16.048979944241196,4.421661271938774,108.45245624226925,31.57894022614491
Nicoya            ,50201,40305,34,32,66,44,13,5,0,4,0,22,66,11.39896373,58,8,7,2,1,1,1,0,0,66,8.791208791,13,5,48,18,66,8.108108108,3,18,36,23.076923076,104.7603,20.89159765739331,25.345475769967152,0.0,1.0067801200062836,9.212409987257423,16.048979944241196,4.421661271938774,85.90087262158951,24.50109638879211
Nicoya            ,50201,40319,8,8,16,0,6,10,0,0,0,16,16,8.29015544,14,2,0,1,0,0,0,1,0,16,2.197802197,7,0,9,7,16,3.153153153,0,2,8,0.0,190.44,100.0,25.345475769967152,0.0,1.0067801200062836,9.212409987257423,16.048979944241196,4.421661271938774,127.27518204919619,37.48647719098018
Nicoya            ,50201,40320,9,8,17,0,5,12,0,0,0,17,17,8.808290155,13,4,3,0,0,0,0,1,0,17,4.395604395,4,1,12,5,17,2.252252252,0,3,13,0.0,180.92,91.21014674069102,25.345475769967152,0.0,1.0067801200062836,9.212409987257423,16.048979944241196,4.421661271938774,120.30036480188721,35.297421730357954
